id,first_name,last_name,web_name,position,team,expected_goals,expected_assists,news
122.0,Pervis,Estupiñán,Estupiñan,2.0,5.0,0.04,0.07,
123.0,Evan,Ferguson,Ferguson,4.0,5.0,0.06,0.0,
124.0,Billy,Gilmour,Gilmour,3.0,5.0,0.08,0.04,Transferred to Napoli
125.0,Pascal,Groß,Gross,3.0,5.0,0.0,0.0,Permanent transfer to Borussia Dortmund
126.0,Jack,Hinshelwood,Hinshelwood,3.0,5.0,0.2,0.45,
127.0,Ibrahim,Osman,I.Osman,3.0,5.0,0.0,0.0,Loaned to Feyenoord
128.0,Igor Julio,dos Santos de Paulo,Igor,2.0,5.0,0.0,0.0,
129.0,João Pedro,Junqueira de Jesus,João Pedro,4.0,5.0,0.88,0.26,Knock - 75% chance of playing
130.0,Kacper,Kozłowski,Kozlowski,3.0,5.0,0.0,0.0,Permanent transfer to Gaziantep FK
131.0,Tariq,Lamptey,Lamptey,2.0,5.0,0.0,0.0,
132.0,Solly,March,March,3.0,5.0,0.0,0.0,Lack of match fitness - Unknown return date
133.0,Adrian,Mazilu,Mazilu,3.0,5.0,0.0,0.0,Has joined Vitesse Arnhem on loan for the rest of the season
134.0,James,Milner,Milner,3.0,5.0,0.16,0.15,Hamstring injury - Expected back 28 Sep
135.0,Yankuba,Minteh,Minteh,3.0,5.0,0.48,1.1,
136.0,Mitoma,Kaoru,Mitoma,3.0,5.0,1.66,0.78,
137.0,Jakub,Moder,Moder,3.0,5.0,0.0,0.0,
138.0,Mark,O’Mahony,O’Mahony,4.0,5.0,0.0,0.0,Season long to Portsmouth
139.0,Odeluga,Offiah,Offiah,2.0,5.0,0.0,0.0,Loaned to Blackpool
140.0,Cameron,Peupion,Peupion,3.0,5.0,0.0,0.0,
141.0,Jeremy,Sarmiento Morante,Sarmiento,3.0,5.0,0.0,0.0,Loaned to Burnley
142.0,Jason,Steele,Steele,1.0,5.0,0.0,0.0,
143.0,Deniz,Undav,Undav,4.0,5.0,0.0,0.0,Transferred to Stuttgart
144.0,Jan Paul,van Hecke,Van Hecke,2.0,5.0,0.05,0.08,
145.0,Joël,Veltman,Veltman,2.0,5.0,0.05,0.48,
